Unnamed: 0,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage,Monat
11357,nicht klassifiziert,2018-09-24 00:00:00,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1910,Auto,Gut,9
11358,Bundesstrasse,2018-04-11 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1100,Taxi,Gut,4
11359,nicht klassifiziert,2018-08-16 00:00:00,80,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1237,Auto,Gut,8
11360,nicht klassifiziert,2018-07-13 00:00:00,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,3,trocken,weiblich,2157,Auto,Gut,7
11361,Bundesstrasse,2018-08-28 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2355,Auto,Gut,8
11362,Bundesstrasse,2018-08-06 00:00:00,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1845,Auto,Gut,8
11363,nicht klassifiziert,2011-05-08 00:00:00,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2205,Auto,Gut,5
11364,Bundesstrasse,2009-10-10 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,810,Auto,Gut (starker Wind),10
11365,Bundesstrasse,2012-10-14 00:00:00,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1418,Auto,Gut,10
11366,Landesstrasse,2018-11-05 00:00:00,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,845,Auto,Gut,11
11367,Bundesstrasse,2018-01-28 00:00:00,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1830,Fahrrad,Gut,1
11368,Autobahn,2018-03-27 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,männlich,754,Auto,Gut,3
11369,Bundesstrasse,2018-04-05 00:00:00,24,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1330,Transporter,Gut,4
11370,Bundesstrasse,2018-04-15 00:00:00,78,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1232,Auto,Gut,4
11371,Bundesstrasse,2018-07-12 00:00:00,33,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,631,Fahrrad,Gut,7
11372,Bundesstrasse,2018-08-09 00:00:00,53,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,810,Fahrrad,Gut,8
11373,nicht klassifiziert,2018-08-07 00:00:00,22,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1459,Auto,Gut,8
11374,Bundesstrasse,2009-05-26 00:00:00,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,2115,Mottorrad,Gut,5
11375,nicht klassifiziert,2018-07-30 00:00:00,52,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1312,Auto,Gut,7
11376,Bundesstrasse,2009-03-16 00:00:00,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2245,Auto,Gut,3
11377,Bundesstrasse,2018-09-21 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1050,Fahrrad,Gut,9
11378,Kraftfahrzeugstrasse,2018-06-21 00:00:00,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,männlich,1044,Auto,Gut,6
11379,Autobahn,2018-04-11 00:00:00,45,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1210,Auto,Gut,4
11380,Bundesstrasse,2018-08-03 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1755,Auto,Gut,8
11381,Bundesstrasse,2010-05-27 00:00:00,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1759,Mottorrad (50cc),Gut,5
11382,nicht klassifiziert,2018-02-06 00:00:00,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1100,Auto,Gut,2
11383,nicht klassifiziert,2018-12-01 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,928,Fahrrad,Gut,12
11384,nicht klassifiziert,2018-06-24 00:00:00,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1955,Taxi,Gut,6
11385,nicht klassifiziert,2018-01-19 00:00:00,59,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,3,nass / feucht,männlich,1848,Auto,Gut,1
11386,nicht klassifiziert,2018-02-01 00:00:00,56,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1618,Bus,Gut,2
11387,Bundesstrasse,2018-11-22 00:00:00,20,Passagier,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,230,Auto,Regen,11
11388,nicht klassifiziert,2018-04-15 00:00:00,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1759,Auto,Gut,4
11389,Bundesstrasse,2018-06-02 00:00:00,50,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,910,Auto,Gut,6
11390,nicht klassifiziert,2018-01-21 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,1640,Auto,Gut,1
11391,nicht klassifiziert,2011-03-15 00:00:00,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1605,Auto,Gut,3
11392,nicht klassifiziert,2018-04-01 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,815,Auto,Gut,4
11393,Bundesstrasse,2018-06-11 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1311,Auto,Gut,6
11394,Autobahn,2018-07-25 00:00:00,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,weiblich,1915,Auto,Gut,7
11395,nicht klassifiziert,2012-03-23 00:00:00,15,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1500,Fahrrad,Gut,3
11396,Bundesstrasse,2018-04-23 00:00:00,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1555,Bus,Gut,4
11397,Bundesstrasse,2018-07-02 00:00:00,54,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,2005,Bus,Gut,7
11398,Bundesstrasse,2018-05-06 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1420,Fahrrad,Gut,5
11399,Bundesstrasse,2018-07-25 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1810,Auto,Gut,7
11400,nicht klassifiziert,2012-12-14 00:00:00,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,3,trocken,männlich,1723,Auto,Gut,12
11401,nicht klassifiziert,2012-05-09 00:00:00,8,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1627,Auto,Gut,5
11402,nicht klassifiziert,2018-12-04 00:00:00,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,1610,Auto,Gut,12
11403,Kraftfahrzeugstrasse,2018-08-27 00:00:00,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,weiblich,1525,Auto,Gut,8
11404,nicht klassifiziert,2010-05-11 00:00:00,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,740,Auto,Gut,5
11405,Bundesstrasse,2018-07-23 00:00:00,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1750,Fahrrad,Gut,7
11406,Autobahn,2018-08-04 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1205,Auto,Gut,8
11407,Bundesstrasse,2018-10-29 00:00:00,83,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1020,Auto,Gut,10
11408,Bundesstrasse,2018-03-11 00:00:00,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost / Eis,männlich,713,Transporter,Gut,3
11409,Autobahn,2018-09-28 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,männlich,1748,Auto,Gut,9
11410,Bundesstrasse,2018-03-15 00:00:00,44,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,2,1,trocken,männlich,2340,Auto,Gut,3
11411,Autobahn,2011-05-04 00:00:00,1,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1600,Auto,Gut,5
11412,nicht klassifiziert,2018-01-08 00:00:00,74,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1320,Auto,Gut,1
11413,Bundesstrasse,2018-06-01 00:00:00,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1145,Taxi,Gut,6
11414,nicht klassifiziert,2018-07-30 00:00:00,63,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,740,Auto,Gut,7
11415,nicht klassifiziert,2011-12-20 00:00:00,17,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1650,Mottorrad (125cc),Gut,12
11416,Bundesstrasse,2012-12-14 00:00:00,21,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2245,Auto,Gut,12
11417,Bundesstrasse,2018-02-20 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1505,Auto,Gut,2
11418,nicht klassifiziert,2018-05-07 00:00:00,36,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2220,Taxi,Gut,5
11419,nicht klassifiziert,2018-05-12 00:00:00,20,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1715,Auto,Gut,5
11420,nicht klassifiziert,2010-03-02 00:00:00,7,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1531,Auto,Gut,3
11421,nicht klassifiziert,2018-07-21 00:00:00,10,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1726,Auto,Gut,7
11422,Bundesstrasse,2018-09-24 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1635,Mottorrad (50cc),Gut,9
11423,Bundesstrasse,2018-09-29 00:00:00,46,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,552,Auto,Gut,9
11424,nicht klassifiziert,2012-05-09 00:00:00,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1627,Auto,Gut,5
11425,nicht klassifiziert,2018-07-30 00:00:00,29,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1745,Mottorrad (500cc),Gut,7
11426,nicht klassifiziert,2018-06-15 00:00:00,14,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1917,Auto,Gut,6
11427,nicht klassifiziert,2018-07-12 00:00:00,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,40,Auto,Regen,7
11428,Landesstrasse,2018-01-14 00:00:00,41,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1450,Auto,Gut,1
11429,nicht klassifiziert,2018-01-22 00:00:00,33,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,7,Schnee,männlich,1430,Auto,Gut,1
11430,Bundesstrasse,2018-07-25 00:00:00,60,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,750,Auto,Gut,7
11431,Bundesstrasse,2018-09-09 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1915,Fahrrad,Gut,9
11432,nicht klassifiziert,2011-10-07 00:00:00,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1851,Fahrrad,Gut,10
11433,Bundesstrasse,2018-07-04 00:00:00,50,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1135,Auto,Gut,7
11434,Kraftfahrzeugstrasse,2018-10-13 00:00:00,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1024,Auto,Regen,10
11435,Bundesstrasse,2018-02-16 00:00:00,82,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1520,Bus,Gut,2
11436,Bundesstrasse,2018-02-05 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1925,Auto,Gut,2
11437,Bundesstrasse,2018-11-13 00:00:00,86,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1630,Auto,Gut,11
11438,nicht klassifiziert,2018-10-12 00:00:00,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,920,Mottorrad (50cc),Gut,10
11439,Autobahn,2018-08-22 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,840,Auto,Gut,8
11440,nicht klassifiziert,2018-11-25 00:00:00,7,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1530,Auto,Gut,11
11441,nicht klassifiziert,2018-11-14 00:00:00,50,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,1730,Auto,Gut,11
11442,nicht klassifiziert,2018-11-17 00:00:00,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1352,Auto,Gut,11
11443,nicht klassifiziert,2012-12-12 00:00:00,36,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1120,Auto,Gut,12
11444,nicht klassifiziert,2018-08-24 00:00:00,56,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,850,Auto,Regen,8
11445,Bundesstrasse,2018-08-05 00:00:00,51,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1120,Transporter,Gut,8
11446,Bundesstrasse,2018-01-17 00:00:00,33,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1930,Fahrrad,Regen,1
11447,nicht klassifiziert,2018-08-10 00:00:00,59,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,2,trocken,weiblich,1810,Auto,Gut,8
11448,Bundesstrasse,2012-03-10 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1540,Fahrrad,Gut,3
11449,Bundesstrasse,2012-10-31 00:00:00,40,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,1830,Auto,Regen,10
11450,Autobahn,2018-01-09 00:00:00,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Frost / Eis,männlich,533,Auto,Gut,1
11451,Bundesstrasse,2018-02-27 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1300,Auto,Gut,2
11452,nicht klassifiziert,2018-10-19 00:00:00,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,640,Auto,Gut,10
11453,nicht klassifiziert,2018-01-06 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,1730,Mottorrad,Gut,1
11454,Landesstrasse,2018-07-23 00:00:00,22,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1912,Auto,Gut,7
11455,Bundesstrasse,2018-08-16 00:00:00,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,trocken,weiblich,1340,Auto,Gut,8
11456,Bundesstrasse,2018-08-20 00:00:00,23,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,5,2,trocken,weiblich,1745,Auto,Gut,8
11457,Kraftfahrzeugstrasse,2009-12-07 00:00:00,53,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,9,nass / feucht,männlich,655,Auto,Andere,12
11458,Bundesstrasse,2018-08-28 00:00:00,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,720,Auto,Gut,8
11459,Bundesstrasse,2018-01-18 00:00:00,51,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost / Eis,männlich,750,Auto,Gut,1
11460,Bundesstrasse,2018-01-26 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,845,Mottorrad (500cc),Gut,1
11461,nicht klassifiziert,2018-03-04 00:00:00,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1510,Auto,Gut,3
11462,nicht klassifiziert,2018-06-08 00:00:00,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,1355,Auto,Regen,6
11463,nicht klassifiziert,2018-08-12 00:00:00,6,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,1,nass / feucht,weiblich,109,Auto,Gut,8
11464,nicht klassifiziert,2018-11-10 00:00:00,49,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,1943,Transporter,Gut,11
11465,Bundesstrasse,2018-02-07 00:00:00,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1028,Fahrrad,Gut,2
11466,Bundesstrasse,2018-01-28 00:00:00,16,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1620,Auto,Gut,1
11467,Bundesstrasse,2018-06-26 00:00:00,36,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2350,Auto,Gut,6
11468,nicht klassifiziert,2018-02-02 00:00:00,4,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Schnee,männlich,1720,Auto,Schnee,2
11469,nicht klassifiziert,2018-08-09 00:00:00,23,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1455,Mottorrad (50cc),Gut,8
11470,nicht klassifiziert,2010-10-15 00:00:00,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,6,2,nass / feucht,weiblich,2201,Transporter,Gut,10
11471,nicht klassifiziert,2018-01-10 00:00:00,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost / Eis,weiblich,810,Auto,Regen,1
11472,nicht klassifiziert,2010-10-26 00:00:00,57,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1430,Fahrrad,Gut,10
11473,nicht klassifiziert,2018-04-18 00:00:00,22,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1600,Auto,Gut,4
11474,Landesstrasse,2018-09-17 00:00:00,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1505,Auto,Gut,9
11475,Bundesstrasse,2018-07-31 00:00:00,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,weiblich,1940,Bus,Gut,7
11476,nicht klassifiziert,2018-04-02 00:00:00,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,weiblich,1615,Auto,Regen,4
11477,Kraftfahrzeugstrasse,2018-06-16 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,650,Auto,Gut,6
11478,nicht klassifiziert,2018-09-28 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1725,Auto,Gut,9
11479,Bundesstrasse,2018-01-15 00:00:00,56,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1513,Transporter,Gut (starker Wind),1
11480,Landesstrasse,2018-11-02 00:00:00,35,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,weiblich,1155,Auto,Gut,11
11481,nicht klassifiziert,2012-10-13 00:00:00,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,1330,Auto,Gut,10
11482,nicht klassifiziert,2018-07-29 00:00:00,49,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,2,trocken,männlich,2358,Auto,Gut,7
11483,nicht klassifiziert,2011-05-15 00:00:00,21,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,145,Auto,Gut,5
11484,nicht klassifiziert,2018-04-27 00:00:00,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2305,Taxi,Gut,4
11485,Bundesstrasse,2018-07-15 00:00:00,56,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,2010,Auto,Gut,7
11486,nicht klassifiziert,2018-03-02 00:00:00,22,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,2155,Auto,Gut,3
11487,Bundesstrasse,2018-11-30 00:00:00,20,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1610,Fahrrad,Gut,11
11488,Bundesstrasse,2018-01-05 00:00:00,30,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,730,Fahrrad,Regen (starker Wind),1
11489,nicht klassifiziert,2012-05-31 00:00:00,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,835,Fahrrad,Gut,5
11490,Landesstrasse,2018-06-26 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,855,Auto,Gut,6
11491,Bundesstrasse,2018-01-16 00:00:00,36,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2100,Auto,Gut,1
11492,Bundesstrasse,2018-09-23 00:00:00,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1705,Auto,Gut,9
11493,Landesstrasse,2018-07-25 00:00:00,70,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1540,Auto,Gut,7
11494,nicht klassifiziert,2011-10-30 00:00:00,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2048,Auto,Gut,10
11495,Bundesstrasse,2018-08-17 00:00:00,75,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1610,Auto,Gut,8
11496,Bundesstrasse,2018-08-07 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1400,Auto,Gut,8
11497,Landesstrasse,2011-10-05 00:00:00,59,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1850,Auto,Gut,10
11498,Autobahn,2018-02-05 00:00:00,51,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,4,1,Frost / Eis,männlich,515,Kleinbus,Gut,2
11499,nicht klassifiziert,2018-09-28 00:00:00,38,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1710,Auto,Gut,9
11500,Bundesstrasse,2018-04-25 00:00:00,31,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,4,trocken,weiblich,2350,Auto,Gut,4
11501,Landesstrasse,2018-01-28 00:00:00,41,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,Frost / Eis,männlich,2110,Auto,Gut,1
11502,Bundesstrasse,2018-01-28 00:00:00,51,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1448,Transporter,Gut,1
11503,nicht klassifiziert,2010-03-24 00:00:00,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1245,Auto,Gut,3
11504,Bundesstrasse,2010-10-14 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,900,Fahrrad,Gut,10
11505,Bundesstrasse,2018-02-13 00:00:00,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1520,Auto,Gut,2
11506,Landesstrasse,2018-04-15 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1638,Auto,Gut,4
11507,nicht klassifiziert,2012-12-01 00:00:00,32,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1600,Auto,Gut,12
11508,Bundesstrasse,2018-06-04 00:00:00,65,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1527,Fahrrad,Gut,6
11509,nicht klassifiziert,2018-01-20 00:00:00,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1128,Fahrrad,Gut,1
11510,Autobahn,2009-12-24 00:00:00,41,Fahrer,2,Dunkelheit: keine Strassenbeleuchtung,1,1,nass / feucht,männlich,2346,Auto,Nebel,12
11511,Bundesstrasse,2009-12-12 00:00:00,82,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,907,Auto,Gut,12
11512,nicht klassifiziert,2018-11-27 00:00:00,16,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1720,Auto,Gut,11
11513,nicht klassifiziert,2018-11-14 00:00:00,63,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1235,Auto,Gut,11
